Experience,Education,JobRole,Location,Country,Salary_Monthly_USD,Salary_Annual_USD
1,Bachelor,Software Engineer,Seattle,USA,14726,176715
1,Master,Software Engineer,Luxembourg,Luxembourg,15943,191323
3,Bachelor,Software Engineer,Munich,Germany,11754,141049
7,Bachelor,Cybersecurity,Kuala Lumpur,Malaysia,5383,64604
8,Bachelor,Data Scientist,Edinburgh,UK,10808,129696
7,Master,ML Engineer,Singapore,Singapore,21808,261707
9,Bachelor,ML Engineer,Barcelona,Spain,9038,108465
3,Bachelor,Data Scientist,Amsterdam,Netherlands,12182,146187
3,Bachelor,Cybersecurity,Madrid,Spain,6831,81975
0,Bachelor,Data Scientist,Boston,USA,14400,172800
10,Master,Cybersecurity,Dubai,UAE,20124,241494
4,PhD,Software Engineer,Toronto,Canada,15198,182385
8,Bachelor,Cybersecurity,Lyon,France,12944,155328
10,Master,Data Scientist,Paris,France,17714,212575
3,Master,Data Analyst,Austin,USA,12182,146186
11,Master,Data Scientist,Geneva,Switzerland,25680,308166
5,PhD,Software Engineer,Rotterdam,Netherlands,14122,169464
5,Bachelor,Data Analyst,Kuala Lumpur,Malaysia,6636,79635
8,PhD,Software Engineer,Dublin,Ireland,16779,201355
6,PhD,Cybersecurity,Mumbai,India,8601,103212
5,Master,Data Scientist,Perth,Australia,16419,197032
9,Bachelor,Data Scientist,Osaka,Japan,14037,168453
3,PhD,Software Engineer,Hamburg,Germany,11381,136572
0,Bachelor,Cloud Engineer,Frankfurt,Germany,10000,120000
6,Master,ML Engineer,Bangalore,India,8329,99952
6,Bachelor,Cybersecurity,Seattle,USA,18976,227718
8,Bachelor,Software Engineer,Kuala Lumpur,Malaysia,6713,80564
10,Bachelor,Data Analyst,Berlin,Germany,11327,135930
5,Bachelor,Software Engineer,Lyon,France,10203,122445
7,PhD,Data Analyst,Munich,Germany,14417,173010
12,PhD,ML Engineer,Brisbane,Australia,22119,265430
4,PhD,Cloud Engineer,Amsterdam,Netherlands,17225,206703
1,Master,Cloud Engineer,Tokyo,Japan,11703,140438
1,Master,Cloud Engineer,Kuala Lumpur,Malaysia,4506,54077
4,Master,Data Scientist,Austin,USA,18143,217716
8,Master,Cloud Engineer,Melbourne,Australia,20760,249128
11,Master,Cloud Engineer,Manchester,UK,17549,210588
1,PhD,ML Engineer,Berlin,Germany,12273,147286
4,PhD,ML Engineer,Berlin,Germany,15014,180168
2,Master,Data Analyst,Zurich,Switzerland,16488,197861
1,Master,Data Scientist,Zurich,Switzerland,20541,246495
7,Master,Software Engineer,Stockholm,Sweden,13213,158556
5,PhD,ML Engineer,Sydney,Australia,21316,255798
12,Master,ML Engineer,Abu Dhabi,UAE,19490,233890
10,PhD,Data Scientist,Luxembourg,Luxembourg,24758,297096
9,Bachelor,Cloud Engineer,Stockholm,Sweden,13659,163911
6,Bachelor,ML Engineer,Sydney,Australia,15624,187498
0,Bachelor,Data Scientist,Luxembourg,Luxembourg,15400,184800
11,Master,Data Scientist,Geneva,Switzerland,26965,323581
7,Master,Data Scientist,Luxembourg,Luxembourg,23232,278793
4,PhD,Data Scientist,Sydney,Australia,17218,206620
0,Master,ML Engineer,Osaka,Japan,10725,128700
3,PhD,ML Engineer,Madrid,Spain,8129,97550
6,PhD,Cloud Engineer,Berlin,Germany,14369,172435
0,Master,Cybersecurity,Melbourne,Australia,13200,158400
9,Master,Software Engineer,Toronto,Canada,15838,190060
8,PhD,ML Engineer,Kuala Lumpur,Malaysia,11817,141806
6,PhD,Cybersecurity,Luxembourg,Luxembourg,20748,248976
7,Master,Data Scientist,Bangalore,India,6104,73258
0,PhD,ML Engineer,Zurich,Switzerland,23400,280800
0,Bachelor,Cybersecurity,Toronto,Canada,10800,129600
12,Bachelor,Cybersecurity,Amsterdam,Netherlands,20369,244428
4,Bachelor,Data Analyst,Stockholm,Sweden,8919,107036
0,Bachelor,ML Engineer,Bangalore,India,2816,33800
4,Master,Data Scientist,Madrid,Spain,9131,109582
2,PhD,Data Scientist,Stockholm,Sweden,12637,151646
9,Master,ML Engineer,Luxembourg,Luxembourg,22418,269027
7,PhD,Data Analyst,Dublin,Ireland,13942,167310
9,PhD,Cybersecurity,Singapore,Singapore,23854,286257
8,Master,Data Scientist,Zurich,Switzerland,23399,280790
12,PhD,ML Engineer,Rotterdam,Netherlands,22777,273326
10,Bachelor,ML Engineer,Singapore,Singapore,22190,266280
1,Bachelor,Data Scientist,Austin,USA,13873,166486
5,Bachelor,Data Analyst,Hamburg,Germany,10588,127065
0,Master,Data Scientist,Seattle,USA,17160,205920
8,Master,Data Analyst,Tokyo,Japan,14285,171421
7,Bachelor,Cybersecurity,Luxembourg,Luxembourg,18999,227997
10,Bachelor,Cloud Engineer,Stockholm,Sweden,15063,180760
0,Bachelor,Data Scientist,Kuala Lumpur,Malaysia,3300,39600
12,PhD,ML Engineer,Dublin,Ireland,27133,325598
12,PhD,Cloud Engineer,Abu Dhabi,UAE,21910,262929
11,Bachelor,Data Scientist,Stockholm,Sweden,14892,178714
1,Bachelor,ML Engineer,Tokyo,Japan,11220,134648
4,PhD,Cybersecurity,Amsterdam,Netherlands,14948,179385
7,PhD,Cybersecurity,Pune,India,6000,72008
5,Master,Software Engineer,Brisbane,Australia,12747,152966
1,Master,ML Engineer,Dubai,UAE,13614,163369
12,PhD,Software Engineer,Frankfurt,Germany,14859,178315
8,PhD,Software Engineer,Lyon,France,11016,132196
4,Master,Data Analyst,Melbourne,Australia,13049,156596
5,PhD,Cybersecurity,Toronto,Canada,17834,214014
9,PhD,Cloud Engineer,Singapore,Singapore,22843,274117
